                   frame  Start Frame
    0.027 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.041 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.032 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.017 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.039 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.027 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.017 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.039 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source0/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.028 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.057 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.030 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.025 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.050 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.028 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.017 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.041 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source0/switch2 (CHOP:switch)
    0.050 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot0/clampMinToggle/switch (TOP:switch)
    0.138 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters (COMP:container)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/name (COMP:container)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/label (COMP:container)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/style (COMP:container)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/label1 (COMP:container)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/label2 (COMP:container)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/label4 (COMP:container)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsOp (COMP:container)
    0.008 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsInt (COMP:container)
    0.003 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsMenu (COMP:container)
    0.010 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat (COMP:container)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsPulse (COMP:container)
    0.003 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsString (COMP:container)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsToggle (COMP:container)
    0.022 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot0/clampMaxToggle/switch (TOP:switch)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/enableToggle1/off (COMP:container)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/sectionToggle/on (COMP:container)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/enableToggle/on (COMP:container)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger/dropmenuSize (COMP:button)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot0/minFieldFloat/text (TOP:text)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot0/maxFieldFloat/text (TOP:text)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/enableToggle1/on (COMP:container)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/sectionToggle/off (COMP:container)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/enableToggle/off (COMP:container)
    0.003 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot0/parName/bg (TOP:text)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot1/parName/bg (TOP:text)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot2/parName/bg (TOP:text)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot3/parName/bg (TOP:text)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsInt/parSlot0/parName/bg (TOP:text)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsInt/parSlot1/parName/bg (TOP:text)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsInt/parSlot2/parName/bg (TOP:text)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsInt/parSlot3/parName/bg (TOP:text)
    0.003 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/labelField/text (TOP:text)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/nameField/text (TOP:text)
    0.003 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger/parStyleMenuButton/off (TOP:text)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger/dropmenuSize/off (TOP:text)
    0.003 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot0/defaultFieldFloat/text (TOP:text)
    0.003 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot0/normMinFieldFloat/text (TOP:text)
    0.003 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot0/normMaxFieldFloat/text (TOP:text)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/updateDefaultButton/help (DAT:eval)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/pagesAndParameters/listerPages (COMP:list)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/pagesAndParameters/listerPages (COMP:list)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/pagesAndParameters/listerPages (COMP:list)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/pagesAndParameters/listerPages (COMP:list)
    0.008 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/pagesAndParameters/listerPars (COMP:list)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/pagesAndParameters/listerPars (COMP:list)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/pagesAndParameters/listerPars (COMP:list)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/pagesAndParameters/listerPars (COMP:list)
    0.010 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot0 (COMP:container)
    0.007 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot3 (COMP:container)
    0.007 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot2 (COMP:container)
    0.007 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot1 (COMP:container)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot0/clampMinToggle/switch (TOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot0/clampMaxToggle/switch (TOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsToggle/parSlot0 (COMP:container)
    0.003 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsString/parSlot0 (COMP:container)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsPulse/parSlot0 (COMP:container)
    0.004 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsMenu/parSlot0 (COMP:container)
    0.008 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsInt/parSlot0 (COMP:container)
    0.007 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsInt/parSlot1 (COMP:container)
    0.007 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsInt/parSlot2 (COMP:container)
    0.006 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsInt/parSlot3 (COMP:container)
    0.002 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsOp/parSlot0 (COMP:container)
    0.114 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot0 (COMP:container)
    0.005 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot3 (COMP:container)
    0.004 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot2 (COMP:container)
    0.004 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsFloat/parSlot1 (COMP:container)
    0.021 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsInt/parSlot0 (COMP:container)
    0.003 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsInt/parSlot1 (COMP:container)
    0.003 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsInt/parSlot2 (COMP:container)
    0.003 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/settingsInt/parSlot3 (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.029 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.038 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.028 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.017 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.038 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.025 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.016 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.002 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.042 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source0/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.030 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.041 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.032 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.018 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.036 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.031 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.026 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.047 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source0/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.005 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.044 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.005 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.053 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.034 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.030 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.050 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.030 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.017 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.048 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source0/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.000 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.004 ms       cook     Propagating changes to other nodes /Sourcerer/defaultSource/par1 (CHOP:par)
    0.027 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/par1 (CHOP:par)
    0.044 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/selectedSource/switch2 (CHOP:switch)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/fileSource (COMP:base)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/topSource (COMP:base)
    0.030 ms       cook     Propagating changes to other nodes /Sourcerer/source1 (COMP:base)
    0.001 ms       cook     Propagating changes to other nodes /Sourcerer/UI/parameterActive (COMP:parameter)
    0.018 ms       cook     Propagating changes to other nodes /Sourcerer/source1/select10 (TOP:select)
    0.003 ms       cook     Propagating changes to other nodes /Sourcerer/source1/par1 (CHOP:par)
    0.035 ms       cook     Propagating changes to other nodes /Sourcerer/source1/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source1/switch2 (CHOP:switch)
    0.023 ms       cook     Propagating changes to other nodes /Sourcerer/source0 (COMP:base)
    0.016 ms       cook     Propagating changes to other nodes /Sourcerer/source0/select10 (TOP:select)
    0.002 ms       cook     Propagating changes to other nodes /Sourcerer/source0/par1 (CHOP:par)
    0.037 ms       cook     Propagating changes to other nodes /Sourcerer/source0/doneModeFile (CHOP:switch)
    0.000 ms       cook     Propagating changes to other nodes /Sourcerer/source0/switch2 (CHOP:switch)
    0.081 ms    16 cook      /sys/TDDialogs/CompEditor/pagesAndParameters/listerPars (COMP:list)
    6.137 ms       panel      Update Panel /sys/TDDialogs/CompEditor/pagesAndParameters/listerPars (COMP:list)
    0.034 ms    15 cook      /sys/TDDialogs/CompEditor/pagesAndParameters/listerPages (COMP:list)
    2.356 ms       panel      Update Panel /sys/TDDialogs/CompEditor/pagesAndParameters/listerPages (COMP:list)
    0.001 ms       cook     Propagating changes to other nodes /sys/TDDialogs/CompEditor/pagesAndParameters/listerPars (COMP:list)
    0.011 ms    17 cook      /sys/TDDialogs/CompEditor/pagesAndParameters/listerPars (COMP:list)
    0.011 ms       panel      Update Panel /sys/TDDialogs/CompEditor/pagesAndParameters/listerPars (COMP:list)
    0.008 ms     5 cook   /sys/TDDialogs/CompEditor/addParameter/buttonAddParm/bg (TOP:null)
    0.015 ms     5 cook    /sys/TDDialogs/CompEditor/addParameter/buttonAddParm/switch (TOP:switch)
    0.655 ms     1 cook     /sys/TDDialogs/CompEditor/addParameter/buttonAddParm/on (TOP:text)
    0.035 ms       gfx     Allocating a 2D Texture, 54x24
    0.004 ms    29 cook   /sys/TDDialogs/CompEditor/addParameter/nameField/bg (TOP:null)
    0.054 ms    29 cook    /sys/TDDialogs/CompEditor/addParameter/nameField/switch (TOP:switch)
    0.090 ms     6 cook     /sys/TDDialogs/CompEditor/addParameter/nameField/text (TOP:text)
    0.011 ms     6 cook   /sys/TDDialogs/CompEditor/addParameter/size (COMP:container)
    0.037 ms       panel   Update Panel /sys/TDDialogs/CompEditor/addParameter/size (COMP:container)
    0.010 ms     5 cook   /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.007 ms     9 cook    /sys/TDDialogs/CompEditor/customParameters/style (COMP:container)
    0.029 ms       panel    Update Panel /sys/TDDialogs/CompEditor/customParameters/style (COMP:container)
    0.027 ms       panel   Update Panel /sys/TDDialogs/CompEditor/customParameters/styleChanger (COMP:container)
    0.085 ms     3 cook   /Sourcerer/selectedSource (COMP:base)
    0.033 ms     4 cook   /Sourcerer/UI/parameterSelected (COMP:parameter)
   37.780 ms       panel   Update Panel /Sourcerer/UI/parameterSelected (COMP:parameter)
    0.003 ms  11931 cook   /Sourcerer/audioOut (CHOP:out)
    0.005 ms  12330 cook    /Sourcerer/transitions/autioOut (CHOP:out)
    0.022 ms  12330 cook     /Sourcerer/transitions/cross1 (CHOP:cross)
    0.004 ms  12330 cook      /Sourcerer/transitions/switch5 (CHOP:switch)
    0.015 ms  12330 cook       /Sourcerer/transitions/audioin1 (CHOP:in)
    0.003 ms  12330 cook        /Sourcerer/source1/out3 (CHOP:out)
    0.008 ms  12330 cook         /Sourcerer/source1/shift1 (CHOP:shift)
    0.067 ms  12330 cook          /Sourcerer/source1/math9 (CHOP:math)
    0.005 ms  12330 cook           /Sourcerer/source1/switch1 (CHOP:switch)
    0.053 ms  12330 cook            /Sourcerer/source1/audiomovie1 (CHOP:audiomovie)
    0.230 ms     4 cook             /Sourcerer/source1/moviefilein0 (TOP:moviefilein)
    0.003 ms  12330 cook      /Sourcerer/transitions/switch7 (CHOP:switch)
    0.002 ms  12330 cook       /Sourcerer/transitions/audioin0 (CHOP:in)
    0.002 ms  12330 cook        /Sourcerer/source0/out3 (CHOP:out)
    0.007 ms  12330 cook         /Sourcerer/source0/shift1 (CHOP:shift)
    0.021 ms  12330 cook          /Sourcerer/source0/math9 (CHOP:math)
    0.003 ms  12330 cook           /Sourcerer/source0/switch1 (CHOP:switch)
    0.036 ms  12330 cook            /Sourcerer/source0/audiomovie1 (CHOP:audiomovie)
    0.040 ms     4 cook             /Sourcerer/source0/moviefilein0 (TOP:moviefilein)
    0.002 ms  12330 cook      /Sourcerer/transitions/null2 (CHOP:null)
    0.004 ms  12330 cook       /Sourcerer/transitions/rename5 (CHOP:rename)
    0.004 ms  12330 cook        /Sourcerer/transitions/audioTransitionValueIn (CHOP:in)
    0.005 ms  12330 cook         /Sourcerer/transitions/lookup2 (CHOP:lookup)
    0.003 ms  11931 cook   /Sourcerer/topOut (TOP:out)
    0.004 ms  12330 cook    /Sourcerer/transitions/videoOut (TOP:out)
    0.012 ms  12330 cook     /Sourcerer/transitions/switch4 (TOP:switch)
    0.086 ms  12330 cook      /Sourcerer/transitions/glsl1_Transitions (TOP:glsl)
    0.003 ms     3 cook       /Sourcerer/transitions/switch1 (TOP:switch)
    0.003 ms     3 cook        /Sourcerer/transitions/videoin0 (TOP:in)
    0.004 ms     3 cook         /Sourcerer/source0/out1 (TOP:out)
    0.026 ms     3 cook          /Sourcerer/source0/multiply1 (TOP:multiply)
    0.034 ms     3 cook           /Sourcerer/source0/select10 (TOP:select)
    0.081 ms     3 cook           /Sourcerer/source0/over1 (TOP:over)
    0.034 ms     3 cook            /Sourcerer/source0/hsvadj1 (TOP:hsvadj)
    0.060 ms     3 cook             /Sourcerer/source0/level1 (TOP:level)
    0.106 ms     3 cook             /Sourcerer/source0/tile1 (TOP:tile)
    0.015 ms     3 cook             /Sourcerer/source0/select0 (TOP:select)
    0.016 ms  12330 cook       /Sourcerer/transitions/switch2 (TOP:switch)
    0.003 ms  12330 cook        /Sourcerer/transitions/null1 (CHOP:null)
    0.013 ms  12330 cook         /Sourcerer/transitions/delay1 (CHOP:delay)
    0.003 ms     3 cook        /Sourcerer/transitions/videoin1 (TOP:in)
    0.002 ms     3 cook         /Sourcerer/source1/out1 (TOP:out)
    0.019 ms     3 cook          /Sourcerer/source1/multiply1 (TOP:multiply)
    0.019 ms     3 cook           /Sourcerer/source1/select10 (TOP:select)
    0.056 ms     3 cook           /Sourcerer/source1/over1 (TOP:over)
    0.026 ms     3 cook            /Sourcerer/source1/hsvadj1 (TOP:hsvadj)
    0.046 ms     3 cook             /Sourcerer/source1/level1 (TOP:level)
    0.077 ms     3 cook             /Sourcerer/source1/tile1 (TOP:tile)
    0.015 ms     3 cook             /Sourcerer/source1/select0 (TOP:select)
    0.002 ms  11931 cook   /Sourcerer/infoOut (CHOP:out)
    0.007 ms  11931 cook    /Sourcerer/merge1 (CHOP:merge)
    0.002 ms  11931 cook     /Sourcerer/switch1 (CHOP:switch)
    0.002 ms  11931 cook      /Sourcerer/source1/out2 (CHOP:out)
    0.009 ms  11931 cook       /Sourcerer/source1/merge1 (CHOP:merge)
    0.004 ms  11931 cook        /Sourcerer/source1/rename3 (CHOP:rename)
    0.006 ms  11931 cook         /Sourcerer/source1/count1 (CHOP:count)
    0.004 ms  11931 cook          /Sourcerer/source1/rename1 (CHOP:rename)
    0.004 ms  11931 cook           /Sourcerer/source1/math8 (CHOP:math)
    0.015 ms  11931 cook            /Sourcerer/source1/logic1 (CHOP:logic)
    0.004 ms     3 cook             /Sourcerer/source1/math4 (CHOP:math)
    0.005 ms     3 cook             /Sourcerer/source1/math2 (CHOP:math)
    0.007 ms     3 cook             /Sourcerer/source1/select1 (CHOP:select)
    0.025 ms     4 cook             /Sourcerer/source1/info1 (CHOP:info)
    0.004 ms     3 cook             /Sourcerer/source1/math3 (CHOP:math)
    0.003 ms     3 cook             /Sourcerer/source1/math7 (CHOP:math)
    0.003 ms     3 cook             /Sourcerer/source1/select2 (CHOP:select)
